"Id";"Identificador";"Empaquetado";"Cantidad";"Identificación";"Suministrador y ref";
1;"Ref**";"streamdeck2x3_v1";1;"Val**";;;
2;"SW8,SW7,SW6,SW5,SW4,SW3,SW2,SW1";"SW_Cherry_MX_1.00u_PCB";8;"SW_Push";;;
3;"REF**";"WEEE-Logo_5.6x8mm_SilkScreen";1;"WEEE-Logo_5.6x8mm_SilkScreen";;;
4;"REF**";"OSHW-Logo_11.4x12mm_SilkScreen";1;"OSHW-Logo_11.4x12mm_SilkScreen";;;
5;"Ref**";"logo_kicad";1;"Val**";;;
6;"Ref**,Ref**";"akirasan_logo_inv";2;"Val**";;;
7;"R7_8,R9,R6,R5,R4,R3,R2,R1";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";8;"1K";;;
8;"R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"10K";;;
9;"LEDKEY8,LEDKEY7,LEDKEY6,LEDKEY5,LEDKEY4,LEDKEY3,LEDKEY2,LEDKEY1";"ws2812_2020";8;"ws2812_2020";;;
10;"LEDBASE4,LEDBASE3,LEDBASE2,LEDBASE1";"LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm";4;"WS2812B";;;
11;"C2,C1";"C_0805_2012Metric_Pad1.18x1.45mm_HandSolder";2;"1uF";;;
12;"J1";"PinSocket_1x04_P2.54mm_Vertical";1;"Conn_01x04_Female";;;
13;"U1";"Seeeduino XIAO-MOUDLE14P-2.54-21X17.8MM";1;"SeeeduinoXIAO";;;
